ID,Mobile_Name,Reviews,Rating
1,Samsung,"Great performance, good camera, but the battery could be better.",4.9
2,Samsung,"I have been using this for a while, and it has not disappointed.",4.1
3,OnePlus,"Sleek design, but the camera is not as good as expected.",4.6
4,OnePlus,"Sleek design, but the camera is not as good as expected.",4.9
5,OnePlus,"Affordable and reliable, but lacks some premium features.",4.4
6,Samsung,Impressive camera quality and smooth user experience.,4.9
7,OnePlus,"Affordable and reliable, but lacks some premium features.",3.7
8,Samsung,"Great performance, good camera, but the battery could be better.",4.6
9,Samsung,"Great performance, good camera, but the battery could be better.",4.4
10,iPhone,Battery drains quickly when using apps for extended periods.,5
11,OnePlus,It's fine for everyday use but doesn't excel in any area.,3.5
12,OnePlus,"Affordable and reliable, but lacks some premium features.",4.4
13,Samsung,"I have been using this for a while, and it has not disappointed.",4.7
14,iPhone,"Decent phone, but it lags a little when switching apps.",4.1
15,Samsung,"I have been using this for a while, and it has not disappointed.",4.2
16,Samsung,"I have been using this for a while, and it has not disappointed.",3.7
17,iPhone,"Good value for money, however, the build quality is not premium.",4.1
18,OnePlus,"Value for money, but the software could use some improvements.",4.3
19,iPhone,"Camera quality is top-notch, but the storage could be higher.",4.3
20,OnePlus,"The phone is good for basic tasks, but not for gaming.",4.2
21,Samsung,"I have been using this for a while, and it has not disappointed.",3.7
22,iPhone,Battery drains quickly when using apps for extended periods.,4.1
23,iPhone,Battery drains quickly when using apps for extended periods.,4.4
24,iPhone,"Good value for money, however, the build quality is not premium.",4.5
25,iPhone,"Amazing battery life, but the display could be brighter.",3.5
26,iPhone,"Great phone overall, but the price is a little too high.",4.9
27,Samsung,"Great performance, good camera, but the battery could be better.",4.9
28,iPhone,"Good value for money, however, the build quality is not premium.",4.1
29,iPhone,"Good value for money, however, the build quality is not premium.",3.6
30,OnePlus,"The phone is good for basic tasks, but not for gaming.",4.7
31,iPhone,"Camera quality is top-notch, but the storage could be higher.",3.7
32,iPhone,"Decent phone, but it lags a little when switching apps.",4.7
33,OnePlus,"Affordable and reliable, but lacks some premium features.",3.6
34,Samsung,"I have been using this for a while, and it has not disappointed.",3.9
35,Samsung,Impressive camera quality and smooth user experience.,3.6
36,iPhone,"Good value for money, however, the build quality is not premium.",4.7
37,OnePlus,"The phone is good for basic tasks, but not for gaming.",4
38,Samsung,"Amazing features, especially the camera and display.",5
39,Samsung,"Fast charging and decent performance, I love it.",4
40,Samsung,"Fast charging and decent performance, I love it.",4.7
41,Samsung,"Fast charging and decent performance, I love it.",4.4
42,Samsung,Impressive camera quality and smooth user experience.,4.9
43,OnePlus,"Value for money, but the software could use some improvements.",5
44,iPhone,Battery drains quickly when using apps for extended periods.,4.4
45,OnePlus,"Affordable and reliable, but lacks some premium features.",4.9
46,OnePlus,"Value for money, but the software could use some improvements.",4.1
47,Samsung,"Fast charging and decent performance, I love it.",4.1
48,OnePlus,"Sleek design, but the camera is not as good as expected.",3.8
49,OnePlus,"Affordable and reliable, but lacks some premium features.",4.3
50,Samsung,"Fast charging and decent performance, I love it.",4.9
51,OnePlus,"Affordable and reliable, but lacks some premium features.",4.7
52,Samsung,"Fast charging and decent performance, I love it.",4
53,Samsung,"Great performance, good camera, but the battery could be better.",4.6
54,OnePlus,"Good phone, but it heats up when gaming for too long.",3.5
55,Samsung,Impressive camera quality and smooth user experience.,4.7
56,Samsung,Impressive camera quality and smooth user experience.,3.8
57,iPhone,"Amazing battery life, but the display could be brighter.",4.2
58,OnePlus,It's fine for everyday use but doesn't excel in any area.,4.6
59,Samsung,"Fast charging and decent performance, I love it.",4.2
60,Samsung,"Fast charging and decent performance, I love it.",4.9
61,OnePlus,It's fine for everyday use but doesn't excel in any area.,3.9
62,iPhone,Battery drains quickly when using apps for extended periods.,4.7
63,Samsung,"Very fast and responsive, excellent display.",4.2
64,OnePlus,It's fine for everyday use but doesn't excel in any area.,4.3
